"","id","kjonn","alder","utdanning","relig_denom","aksept_homofili","aksept_abort","aksept_aktiv_dodshjelp","ant_barn"
"110","resp110","mann",1975,"(upper) secondary education","protestant",9,9,10,2
"111","resp111","mann",1975,"first stage of tertiary education","ingen religion",10,10,5,0
"112","resp112","mann",1977,"lower secondary or second stage of basic education","ingen religion",1,10,5,1
"113","resp113","mann",1981,"lower secondary or second stage of basic education","protestant",10,7,9,0
"114","resp114","mann",1975,"first stage of tertiary education","protestant",6,3,7,1
"115","resp115","mann",1983,"first stage of tertiary education","free church/ non-conformist/ evangelical",10,3,3,0
"116","resp116","mann",1978,"post-secondary non-tertiary education","protestant",5,7,3,0
"117","resp117","mann",1977,"first stage of tertiary education","protestant",5,7,6,2
"118","resp118","mann",1974,"first stage of tertiary education","free church/ non-conformist/ evangelical",10,2,2,4
"119","resp119","mann",1980,"first stage of tertiary education","ingen religion",1,3,5,0
"120","resp120","mann",1977,"first stage of tertiary education","protestant",5,4,5,0
"121","resp121","mann",1979,"pre-primary education or none education","muslim",9,8,10,1
"122","resp122","mann",1974,"(upper) secondary education","protestant",10,5,8,0
"123","resp123","mann",1975,"(upper) secondary education","protestant",3,10,10,0
"124","resp124","mann",1979,"first stage of tertiary education","Orthodox",1,5,7,1
"125","resp125","mann",1977,"first stage of tertiary education","ingen religion",9,4,2,1
"126","resp126","mann",1975,"first stage of tertiary education","protestant",7,5,5,1
"127","resp127","mann",1982,"(upper) secondary education","ingen religion",10,10,5,0
"128","resp128","mann",1975,"(upper) secondary education","protestant",9,4,1,2
"129","resp129","mann",1982,"(upper) secondary education","protestant",4,8,10,2
"130","resp130","mann",1978,"(upper) secondary education","ingen religion",10,10,3,1
"131","resp131","mann",1980,"first stage of tertiary education","protestant",10,3,3,0
"132","resp132","mann",1976,"first stage of tertiary education","protestant",9,9,7,0
"133","resp133","mann",1981,"post-secondary non-tertiary education","protestant",3,9,8,0
"134","resp134","mann",1975,"(upper) secondary education","ingen religion",8,7,6,2
"135","resp135","mann",1974,"(upper) secondary education","protestant",10,9,1,4
"136","resp136","mann",1974,"first stage of tertiary education","ingen religion",10,6,5,1
"137","resp137","mann",1982,"lower secondary or second stage of basic education","roman catholic",8,8,8,2
"138","resp138","mann",1976,"first stage of tertiary education","protestant",10,8,7,1
"139","resp139","mann",1981,"lower secondary or second stage of basic education","protestant",2,5,8,0
"140","resp140","mann",1976,"post-secondary non-tertiary education","protestant",1,6,8,1
"141","resp141","mann",1975,"lower secondary or second stage of basic education","protestant",6,8,5,3
"142","resp142","mann",1979,"(upper) secondary education","protestant",5,10,5,1
"143","resp143","mann",1975,"(upper) secondary education","Other",1,1,2,0
"144","resp144","mann",1974,"first stage of tertiary education","ingen religion",10,9,10,3
"145","resp145","mann",1978,"first stage of tertiary education","protestant",5,7,5,0
"146","resp146","mann",1983,"post-secondary non-tertiary education","ingen religion",10,10,10,0
"147","resp147","mann",1976,"first stage of tertiary education","protestant",8,3,2,2
"148","resp148","mann",1972,"lower secondary or second stage of basic education","muslim",1,3,5,2
"149","resp149","mann",1965,"(upper) secondary education","ingen religion",10,10,8,0
"150","resp150","mann",1970,"first stage of tertiary education","protestant",10,5,3,3
"151","resp151","mann",1965,"lower secondary or second stage of basic education","ingen religion",10,10,8,2
"152","resp152","mann",1966,"first stage of tertiary education","ingen religion",9,9,8,3
"153","resp153","mann",1972,"(upper) secondary education","protestant",1,7,9,2
"154","resp154","mann",1971,"lower secondary or second stage of basic education","ingen religion",5,5,5,0
"155","resp155","mann",1971,"(upper) secondary education","protestant",8,9,5,2
"156","resp156","mann",1971,"first stage of tertiary education","protestant",10,7,5,2
"157","resp157","mann",1969,"lower secondary or second stage of basic education","protestant",3,6,6,2
"158","resp158","mann",1965,"first stage of tertiary education","free church/ non-conformist/ evangelical",NA,1,1,4
"159","resp159","mann",1972,"first stage of tertiary education","protestant",2,4,4,1
"160","resp160","mann",1967,"first stage of tertiary education","protestant",5,5,3,2
"161","resp161","mann",1967,"first stage of tertiary education","ingen religion",10,10,8,2
"162","resp162","mann",1971,"first stage of tertiary education","protestant",10,4,8,1
"163","resp163","mann",1972,"first stage of tertiary education","protestant",10,8,7,3
"164","resp164","mann",1965,"first stage of tertiary education","ingen religion",10,10,2,3
"165","resp165","mann",1969,"first stage of tertiary education","protestant",10,10,8,2
"166","resp166","mann",1971,"first stage of tertiary education","ingen religion",10,7,7,2
"167","resp167","mann",1965,"first stage of tertiary education","protestant",10,10,10,2
"168","resp168","mann",1970,"(upper) secondary education","protestant",1,8,10,0
"169","resp169","mann",1968,"(upper) secondary education","protestant",10,6,6,2
"170","resp170","mann",1966,"first stage of tertiary education","ingen religion",10,9,8,0
"171","resp171","mann",1970,"first stage of tertiary education","protestant",8,8,9,2
"172","resp172","mann",1967,"first stage of tertiary education","ingen religion",10,8,3,2
"173","resp173","mann",1969,"first stage of tertiary education","protestant",10,5,3,3
"174","resp174","mann",1970,"first stage of tertiary education","ingen religion",10,10,3,2
"175","resp175","mann",1969,"first stage of tertiary education","protestant",10,10,6,1
"176","resp176","mann",1965,"first stage of tertiary education","protestant",10,6,8,2
"177","resp177","mann",1971,"lower secondary or second stage of basic education","ingen religion",10,7,9,0
"178","resp178","mann",1964,"first stage of tertiary education",NA,9,3,2,0
"179","resp179","mann",1970,"first stage of tertiary education","ingen religion",9,7,3,0
"180","resp180","mann",1964,"first stage of tertiary education","protestant",10,10,7,0
"181","resp181","mann",1969,"lower secondary or second stage of basic education","ingen religion",10,4,10,0
"182","resp182","mann",1967,"first stage of tertiary education","ingen religion",10,3,3,0
"183","resp183","mann",1969,"first stage of tertiary education","protestant",10,5,10,1
"184","resp184","mann",1965,"first stage of tertiary education","protestant",8,8,5,2
"185","resp185","mann",1964,"lower secondary or second stage of basic education","protestant",9,10,10,1
"186","resp186","mann",1969,"first stage of tertiary education","ingen religion",10,8,4,2
"187","resp187","mann",1967,"lower secondary or second stage of basic education","protestant",5,1,8,2
"188","resp188","mann",1970,"first stage of tertiary education","protestant",10,10,5,0
"189","resp189","mann",1969,"first stage of tertiary education","protestant",10,7,9,0
"190","resp190","mann",1964,"first stage of tertiary education","protestant",10,2,5,3
"191","resp191","mann",1965,"(upper) secondary education","protestant",5,5,9,3
"192","resp192","mann",1970,"first stage of tertiary education","free church/ non-conformist/ evangelical",8,8,6,2
"193","resp193","mann",1966,"(upper) secondary education","protestant",5,5,5,2
"194","resp194","mann",1968,"first stage of tertiary education","protestant",10,9,7,2
"195","resp195","mann",1971,"(upper) secondary education","protestant",1,1,1,0
"196","resp196","mann",1973,"post-secondary non-tertiary education","protestant",1,5,10,1
"197","resp197","mann",1966,"(upper) secondary education","ingen religion",5,9,9,3
"198","resp198","mann",1970,"first stage of tertiary education","muslim",8,8,8,0
"199","resp199","mann",1972,"(upper) secondary education","protestant",1,10,10,2
"200","resp200","mann",1969,"lower secondary or second stage of basic education","ingen religion",10,10,8,0
"201","resp201","mann",1968,"post-secondary non-tertiary education","ingen religion",9,8,7,2
"202","resp202","mann",1971,"(upper) secondary education","protestant",5,10,10,2
"203","resp203","mann",1970,"lower secondary or second stage of basic education","protestant",10,3,10,2
"204","resp204","mann",1972,"(upper) secondary education","protestant",9,9,8,0
"205","resp205","mann",1971,"post-secondary non-tertiary education","protestant",10,10,10,2
"206","resp206","mann",1973,"(upper) secondary education","protestant",7,10,7,0
"207","resp207","mann",1968,"lower secondary or second stage of basic education","protestant",1,5,7,0
"208","resp208","mann",1972,"lower secondary or second stage of basic education","protestant",10,5,4,1
"209","resp209","mann",1971,"lower secondary or second stage of basic education","protestant",2,9,9,2
"210","resp210","mann",1966,"lower secondary or second stage of basic education","protestant",7,9,9,2
"211","resp211","mann",1970,"first stage of tertiary education","ingen religion",10,8,8,1
"212","resp212","mann",1964,"first stage of tertiary education","ingen religion",10,6,7,1
"213","resp213","mann",1970,"first stage of tertiary education","free church/ non-conformist/ evangelical",1,3,2,0
"214","resp214","mann",1969,"(upper) secondary education","protestant",1,1,3,3
"215","resp215","mann",1968,"(upper) secondary education","protestant",9,5,7,3
"216","resp216","mann",1971,"(upper) secondary education","protestant",2,8,8,3
"217","resp217","mann",1966,"(upper) secondary education","protestant",10,10,7,2
"218","resp218","mann",1969,"(upper) secondary education","protestant",5,5,8,3
"219","resp219","mann",1967,"post-secondary non-tertiary education","protestant",8,10,10,1
"220","resp220","mann",1965,"first stage of tertiary education","protestant",10,5,4,0
"221","resp221","mann",1964,"(upper) secondary education","protestant",10,5,9,1
"222","resp222","mann",1970,"post-secondary non-tertiary education","protestant",6,7,5,2
"223","resp223","mann",1965,"post-secondary non-tertiary education","protestant",5,5,8,4
"224","resp224","mann",1973,"lower secondary or second stage of basic education","protestant",1,1,1,3
"225","resp225","mann",1971,"first stage of tertiary education","protestant",10,8,6,1
"226","resp226","mann",1966,"lower secondary or second stage of basic education","protestant",5,4,7,3
"227","resp227","mann",1965,"lower secondary or second stage of basic education","protestant",7,8,10,3
"228","resp228","mann",1969,"first stage of tertiary education","protestant",10,6,9,3
"229","resp229","mann",1970,"post-secondary non-tertiary education","protestant",5,5,5,5
"230","resp230","mann",1970,"post-secondary non-tertiary education","protestant",5,3,5,2
"231","resp231","mann",1968,"(upper) secondary education","protestant",10,6,10,2
"232","resp232","mann",1973,"(upper) secondary education","protestant",10,9,10,2
"233","resp233","mann",1967,"first stage of tertiary education","free church/ non-conformist/ evangelical",10,1,1,4
"234","resp234","mann",1969,"first stage of tertiary education","protestant",9,2,2,3
"235","resp235","mann",1970,"post-secondary non-tertiary education","ingen religion",9,6,6,4
"236","resp236","mann",1973,"first stage of tertiary education","protestant",10,10,5,2
"237","resp237","mann",1967,"post-secondary non-tertiary education","protestant",2,7,8,1
"238","resp238","mann",1965,"(upper) secondary education","Other",10,9,10,2
"239","resp239","mann",1966,"(upper) secondary education","muslim",1,1,1,2
"240","resp240","mann",1972,"first stage of tertiary education","ingen religion",10,5,8,2
"241","resp241","mann",1972,"first stage of tertiary education","protestant",8,8,7,2
"242","resp242","mann",1969,"first stage of tertiary education","ingen religion",10,10,7,2
"243","resp243","mann",1964,"post-secondary non-tertiary education","protestant",3,5,1,2
"244","resp244","mann",1968,"(upper) secondary education","protestant",4,5,3,0
"245","resp245","mann",1967,"lower secondary or second stage of basic education","ingen religion",10,8,9,3
"246","resp246","mann",1970,"(upper) secondary education","protestant",10,5,6,3
"247","resp247","mann",1973,"lower secondary or second stage of basic education","protestant",10,5,6,3
"248","resp248","mann",1967,"(upper) secondary education","protestant",9,9,7,2
"249","resp249","mann",1973,"first stage of tertiary education","protestant",9,9,8,0
"250","resp250","mann",1967,"(upper) secondary education","protestant",1,1,2,2
"251","resp251","mann",1964,"(upper) secondary education","ingen religion",9,9,9,2
"252","resp252","mann",1964,"(upper) secondary education","ingen religion",2,5,6,2
"253","resp253","mann",1969,"(upper) secondary education","protestant",1,5,10,3
"254","resp254","mann",1965,"(upper) secondary education","ingen religion",8,5,9,0
"255","resp255","mann",1967,"lower secondary or second stage of basic education","protestant",5,5,8,0
"256","resp256","mann",1966,"lower secondary or second stage of basic education","protestant",3,5,5,2
"257","resp257","mann",1965,"(upper) secondary education","ingen religion",5,8,5,2
"258","resp258","mann",1967,"first stage of tertiary education","protestant",10,3,8,2
"259","resp259","mann",1967,"first stage of tertiary education","protestant",9,9,9,1
"260","resp260","mann",1973,"post-secondary non-tertiary education","protestant",5,10,5,2
"261","resp261","mann",1964,"first stage of tertiary education","ingen religion",10,8,3,3
"262","resp262","mann",1965,"second stage of tertiary education","ingen religion",10,5,5,1
"263","resp263","mann",1969,"first stage of tertiary education","protestant",10,5,5,2
"264","resp264","mann",1966,"first stage of tertiary education","protestant",10,8,3,4
"265","resp265","mann",1973,"(upper) secondary education","protestant",1,4,6,0
"266","resp266","mann",1965,"lower secondary or second stage of basic education","protestant",10,6,1,1
"267","resp267","mann",1966,"first stage of tertiary education","protestant",10,9,3,0
"268","resp268","mann",1955,"first stage of tertiary education","protestant",4,3,1,0
"269","resp269","mann",1958,"(upper) secondary education","protestant",10,10,10,2
"270","resp270","mann",1961,"pre-primary education or none education","protestant",1,1,1,2
"271","resp271","mann",1959,"(upper) secondary education","protestant",NA,6,5,3
"272","resp272","mann",1963,"first stage of tertiary education","protestant",9,5,2,3
"273","resp273","mann",1960,"first stage of tertiary education","protestant",10,7,8,2
"274","resp274","mann",1954,"first stage of tertiary education","protestant",10,10,NA,2
"275","resp275","mann",1955,"first stage of tertiary education","roman catholic",5,2,1,1
"276","resp276","mann",1962,"first stage of tertiary education","protestant",10,10,10,3
"277","resp277","mann",1957,"first stage of tertiary education","protestant",8,8,3,3
"278","resp278","mann",1955,"first stage of tertiary education","protestant",9,7,5,2
"279","resp279","mann",1956,"lower secondary or second stage of basic education","muslim",5,5,5,4
"280","resp280","mann",1962,"first stage of tertiary education","protestant",10,3,3,3
"281","resp281","mann",1961,"post-secondary non-tertiary education","protestant",10,8,6,2
"282","resp282","mann",1957,"first stage of tertiary education","protestant",10,8,7,2
"283","resp283","mann",1956,"lower secondary or second stage of basic education","Orthodox",1,10,1,2
"284","resp284","mann",1959,"first stage of tertiary education","protestant",10,7,2,2
"285","resp285","mann",1954,"first stage of tertiary education","protestant",10,10,1,3
"286","resp286","mann",1962,"second stage of tertiary education","protestant",10,8,3,2
"287","resp287","mann",1961,"second stage of tertiary education","protestant",8,6,1,1
"288","resp288","mann",1958,"(upper) secondary education","protestant",10,2,7,2
"289","resp289","mann",1957,"first stage of tertiary education","protestant",1,10,5,0
"290","resp290","mann",1960,"lower secondary or second stage of basic education","muslim",8,8,9,4
"291","resp291","mann",1954,"first stage of tertiary education","protestant",10,10,5,3
"292","resp292","mann",1955,"first stage of tertiary education","protestant",10,10,3,2
"293","resp293","mann",1961,"lower secondary or second stage of basic education","protestant",10,10,10,0
"294","resp294","mann",1960,"(upper) secondary education","protestant",8,8,8,1
"295","resp295","mann",1957,"lower secondary or second stage of basic education","protestant",7,5,4,2
"296","resp296","mann",1955,"post-secondary non-tertiary education","protestant",1,5,7,2
"297","resp297","mann",1956,"(upper) secondary education","protestant",5,5,5,1
"298","resp298","mann",1963,"first stage of tertiary education","protestant",10,10,5,2
"299","resp299","mann",1960,"first stage of tertiary education","protestant",3,5,8,2
"300","resp300","mann",1962,"lower secondary or second stage of basic education","ingen religion",7,7,10,2
"301","resp301","mann",1960,"pre-primary education or none education","ingen religion",4,10,10,2
"302","resp302","mann",1962,"first stage of tertiary education","protestant",10,10,1,2
"303","resp303","mann",1960,"lower secondary or second stage of basic education","protestant",1,1,10,2
"304","resp304","mann",1963,"first stage of tertiary education","protestant",10,10,8,4
"305","resp305","mann",1956,"first stage of tertiary education","protestant",10,9,10,2
"306","resp306","mann",1957,"(upper) secondary education","ingen religion",6,8,10,1
"307","resp307","mann",1961,"lower secondary or second stage of basic education","protestant",8,1,5,2
"308","resp308","mann",1961,"first stage of tertiary education","protestant",10,10,10,3
"309","resp309","mann",1963,"first stage of tertiary education","protestant",4,5,9,5
"310","resp310","mann",1962,"first stage of tertiary education","ingen religion",5,8,8,2
"311","resp311","mann",1961,"first stage of tertiary education","protestant",9,9,6,2
"312","resp312","mann",1957,"lower secondary or second stage of basic education","protestant",10,10,5,1
"313","resp313","mann",1955,"first stage of tertiary education","ingen religion",10,9,4,2
"314","resp314","mann",1959,"(upper) secondary education","protestant",10,5,9,0
"315","resp315","mann",1960,"first stage of tertiary education","free church/ non-conformist/ evangelical",1,1,1,2
"316","resp316","mann",1954,"post-secondary non-tertiary education","protestant",8,9,10,1
"317","resp317","mann",1956,"lower secondary or second stage of basic education","protestant",4,4,8,2
"318","resp318","mann",1960,"(upper) secondary education","protestant",1,1,5,4
"319","resp319","mann",1955,"(upper) secondary education","protestant",1,4,8,2
"320","resp320","mann",1959,"(upper) secondary education","protestant",5,5,3,2
"321","resp321","mann",1957,"first stage of tertiary education","Other",6,8,7,3
"322","resp322","mann",1963,"post-secondary non-tertiary education","protestant",5,8,9,1
"323","resp323","mann",1957,"first stage of tertiary education","ingen religion",10,8,7,3
"324","resp324","mann",1955,"post-secondary non-tertiary education","protestant",5,5,5,2
"325","resp325","mann",1962,"(upper) secondary education","protestant",7,7,1,4
"326","resp326","mann",1956,"primary education or first stage of basic education","protestant",5,10,10,0
"327","resp327","mann",1958,"first stage of tertiary education","ingen religion",10,10,10,4
"328","resp328","mann",1961,"first stage of tertiary education","protestant",3,2,8,2
"329","resp329","mann",1954,"(upper) secondary education","protestant",1,5,10,5
"330","resp330","mann",1959,"first stage of tertiary education","protestant",5,3,1,2
"331","resp331","mann",1959,"(upper) secondary education","protestant",8,8,6,2
"332","resp332","mann",1957,"(upper) secondary education","protestant",8,8,5,2
"333","resp333","mann",1962,"first stage of tertiary education","protestant",5,8,8,2
"334","resp334","mann",1958,"(upper) secondary education","protestant",9,9,9,3
"335","resp335","mann",1963,"lower secondary or second stage of basic education","protestant",5,5,7,2
"336","resp336","mann",1961,"(upper) secondary education","protestant",10,10,10,2
"337","resp337","mann",1957,"first stage of tertiary education","ingen religion",10,8,9,1
"338","resp338","mann",1956,"first stage of tertiary education","protestant",8,7,5,2
"339","resp339","mann",1959,"first stage of tertiary education","protestant",10,5,5,5
"340","resp340","mann",1958,"post-secondary non-tertiary education","protestant",8,9,6,0
"341","resp341","mann",1958,"(upper) secondary education","ingen religion",10,10,10,2
"342","resp342","mann",1954,"lower secondary or second stage of basic education","muslim",10,5,6,3
"343","resp343","mann",1960,"first stage of tertiary education","protestant",4,8,9,3
"344","resp344","mann",1955,"post-secondary non-tertiary education","protestant",5,8,4,4
"345","resp345","mann",1958,"(upper) secondary education","protestant",1,2,2,2
"346","resp346","mann",1962,"(upper) secondary education","protestant",5,6,1,2
"347","resp347","mann",1960,"first stage of tertiary education","protestant",10,10,5,3
"348","resp348","mann",1954,"first stage of tertiary education","ingen religion",10,8,8,3
"349","resp349","mann",1955,"lower secondary or second stage of basic education","protestant",5,3,1,3
"350","resp350","mann",1956,"lower secondary or second stage of basic education","protestant",1,1,1,0
"351","resp351","mann",1957,"lower secondary or second stage of basic education","protestant",6,6,7,0
"352","resp352","mann",1960,"(upper) secondary education","protestant",2,3,5,3
"353","resp353","mann",1963,"(upper) secondary education","protestant",10,9,6,2
"354","resp354","mann",1958,"first stage of tertiary education","protestant",8,4,7,2
"355","resp355","mann",1954,"lower secondary or second stage of basic education","protestant",1,10,10,2
"356","resp356","mann",1955,"(upper) secondary education","roman catholic",1,1,1,1
"357","resp357","mann",1957,"lower secondary or second stage of basic education","protestant",5,5,5,3
"358","resp358","mann",1962,"primary education or first stage of basic education","protestant",10,8,1,0
"359","resp359","mann",1961,"first stage of tertiary education","ingen religion",8,9,10,2
"360","resp360","mann",1957,"second stage of tertiary education","ingen religion",8,8,6,0
"361","resp361","mann",1956,"lower secondary or second stage of basic education","protestant",1,1,1,3
"362","resp362","mann",1960,"lower secondary or second stage of basic education","protestant",1,6,7,2
"363","resp363","mann",1959,"first stage of tertiary education","Other",NA,2,3,2
"364","resp364","mann",1963,"(upper) secondary education","protestant",9,9,2,3
"365","resp365","mann",1961,"(upper) secondary education","protestant",9,9,1,2
"366","resp366","mann",1963,"lower secondary or second stage of basic education","protestant",10,5,5,3
"367","resp367","mann",1961,"second stage of tertiary education","protestant",10,10,7,4
"368","resp368","mann",1958,"first stage of tertiary education","protestant",10,10,9,5
