"wage76","grade76","black","south76","momdad14","sinmom14","daded","momed","famed","age76","col4","exp76"
NA,13,1,0,1,0,12,12,7,26,1,7
NA,NA,0,NA,0,1,9.9372,8,1,25,1,NA
NA,NA,0,NA,1,0,4,4,2,30,1,NA
1.4679,10,0,0,0,0,5,10.251,1,24,1,8
1.953,12,0,0,0,1,9.9372,8,1,27,1,9
NA,NA,0,NA,0,1,9.9372,8,1,29,1,NA
1.4469,12,0,0,1,0,10,12,4,27,1,9
1.7422,12,0,0,0,1,9.9372,4,1,24,1,6
1.6827,16,0,0,1,0,12,12,7,30,1,8
NA,NA,0,NA,1,0,12,12,7,27,1,NA
NA,14,0,0,0,1,9.9372,12,6,27,1,7
2.0015,16,0,0,1,0,12,12,7,32,1,10
1.9066,13,0,0,1,0,10,12,4,32,1,13
NA,NA,1,NA,1,0,8,12,4,28,1,NA
NA,NA,1,NA,1,0,9.9372,10.251,1,33,1,NA
2.0399,12,0,0,1,0,10,10,3,34,1,16
NA,NA,0,NA,1,0,10,10,3,26,1,NA
1.7783,12,0,0,0,0,10,10,3,24,1,6
NA,NA,1,NA,0,1,9.9372,11,1,25,1,NA
NA,NA,1,NA,1,0,16,12,8,24,1,NA
NA,NA,1,NA,1,0,8,9,2,25,1,NA
0.7561,9,1,0,1,0,12,11,5,24,1,9
NA,NA,1,NA,1,0,10,10,3,28,1,NA
2.7492,16,0,0,1,0,12,12,7,34,1,12
NA,NA,0,NA,1,0,12,10.251,5,29,1,NA
2.0464,16,0,0,1,0,11,11,3,28,1,6
NA,NA,0,NA,1,0,12,8,5,29,1,NA
1.7918,12,0,1,1,0,8,9,2,26,1,8
NA,16,0,0,1,0,16,16,9,25,1,3
1.9359,18,0,0,1,0,16,16,9,24,1,0
NA,16,0,0,1,0,18,12,8,29,1,7
1.7405,13,0,0,1,0,8,12,4,31,1,12
1.4656,14,0,0,1,0,12,12,7,28,1,8
1.6827,15,0,0,1,0,12,12,7,28,1,7
1.8358,12,0,0,0,0,12,9,5,25,1,7
1.5707,8,0,0,1,0,12,11,5,31,1,17
NA,NA,0,NA,1,0,9.9372,10.251,1,31,1,NA
1.6956,12,0,0,1,0,6,11,2,26,1,8
1.7509,12,0,0,1,0,12,9,5,25,1,7
NA,NA,1,NA,0,1,9.9372,10.251,1,32,1,NA
1.9459,16,0,0,1,0,14,12,8,25,1,3
NA,NA,1,NA,0,0,9.9372,10.251,1,24,1,NA
NA,NA,0,NA,0,1,9.9372,9,1,26,1,NA
2.0643,16,0,0,1,0,12,12,7,28,1,6
2.3145,17,0,0,1,0,12,12,7,27,1,4
2.0255,12,0,0,1,0,12,10,5,24,1,6
1.7934,14,0,0,1,0,12,16,8,29,1,9
1.0403,12,0,0,0,1,9.9372,12,6,24,1,6
1.203,7,0,1,1,0,2,10.251,1,32,1,19
NA,12,0,0,0,0,12,12,7,26,1,8
0.9163,12,0,0,0,0,12,12,7,24,1,6
NA,13,0,0,1,0,10,12,4,27,1,8
1.6094,12,0,0,1,0,10,12,4,26,1,8
1.7047,11,0,0,1,0,8,6,2,31,1,14
2.4362,12,0,0,1,0,8,6,2,25,1,7
2.0919,18,0,1,1,0,8,8,2,31,1,7
NA,NA,1,NA,1,0,8,8,2,34,1,NA
NA,NA,0,NA,1,0,10,10.251,1,24,1,NA
NA,NA,1,NA,1,0,9.9372,8,1,25,1,NA
NA,NA,0,NA,1,0,7,7,2,33,1,NA
1.141,12,1,0,0,1,9.9372,9,1,28,1,10
NA,NA,1,NA,1,0,5,11,2,29,1,NA
1.9892,18,0,0,0,1,9.9372,4,1,25,1,1
NA,NA,0,NA,1,0,6,6,2,26,1,NA
1.8326,16,0,0,1,0,9,10,3,25,1,3
1.7716,14,0,0,1,0,16,12,8,24,1,4
1.3218,14,0,0,1,0,12,12,7,26,1,6
NA,NA,0,NA,1,0,12,12,7,25,1,NA
NA,NA,0,NA,1,0,7,12,4,34,1,NA
2.1005,16,0,1,1,0,14,11,5,29,1,7
NA,12,0,0,1,0,4,3,2,26,1,8
2.1576,14,0,0,1,0,15,12,8,30,1,10
1.2528,15,0,1,1,0,12,12,7,28,1,7
0.7031,13,0,1,1,0,12,12,7,24,1,5
1.6194,13,0,1,0,0,16,16,9,32,1,13
2.0992,17,0,0,1,0,12,13,8,30,1,7
NA,NA,0,NA,1,0,15,17,9,30,1,NA
1.8326,18,0,0,1,0,14,12,8,26,1,2
2.0399,18,0,0,1,0,16,16,9,32,1,8
1.6094,17,0,0,1,0,16,17,9,27,1,4
NA,NA,0,NA,1,0,18,18,9,31,1,NA
1.2528,16,0,0,1,0,18,18,9,26,1,4
NA,16,0,0,1,0,18,16,9,26,1,4
NA,NA,0,NA,1,0,12,12,7,26,1,NA
1.8229,17,0,0,1,0,12,8,5,27,1,4
NA,NA,0,NA,1,0,11,12,4,28,1,NA
NA,NA,0,NA,1,0,14,14,9,29,1,NA
NA,NA,0,NA,0,1,9.9372,8,1,25,1,NA
1.8718,12,0,0,0,1,9.9372,8,1,30,1,12
NA,NA,0,NA,1,0,16,13,9,24,1,NA
2.0399,18,0,0,1,0,10,12,4,28,1,4
1.6332,12,0,0,1,0,10,12,4,26,1,8
1.8326,18,0,0,1,0,12,13,8,31,1,7
2.4078,14,0,0,1,0,12,12,7,31,1,11
1.9755,13,0,0,1,0,12,12,7,28,1,9
2.4458,14,0,0,1,0,13,12,8,32,1,12
NA,14,0,1,0,1,9.9372,12,6,25,1,5
2.1126,18,0,0,1,0,18,18,9,34,1,10
NA,NA,0,NA,0,0,16,14,9,28,1,NA
NA,NA,0,NA,1,0,12,12,7,33,1,NA
2.2225,16,0,0,1,0,14,12,8,34,1,12
2.3758,17,0,0,1,0,14,17,9,28,1,5
NA,NA,0,NA,1,0,7,10,2,33,1,NA
NA,NA,1,NA,0,1,9.9372,11,1,26,1,NA
NA,14,1,0,1,0,9.9372,12,6,28,1,8
1.8326,12,0,0,1,0,9.9372,8,1,33,1,15
1.5261,13,0,0,0,1,9.9372,8,1,27,1,8
NA,15,0,0,1,0,12,8,5,27,1,6
NA,NA,1,NA,1,0,4,8,2,25,1,NA
2.1972,14,1,0,1,0,8,12,4,24,1,4
1.9199,18,0,0,1,0,8,9,2,29,1,5
NA,NA,0,NA,1,0,8,8,2,32,1,NA
NA,15,0,0,1,0,10,12,4,28,1,7
1.4134,12,0,0,1,0,10,12,4,24,1,6
1.8326,13,0,0,1,0,12,15,8,27,1,8
NA,NA,0,NA,1,0,5,4,2,25,1,NA
NA,16,0,0,1,0,12,13,8,25,1,3
NA,NA,0,NA,1,0,12,13,8,27,1,NA
2.3076,18,0,0,1,0,12,12,7,32,1,8
NA,17,0,0,1,0,12,12,7,26,1,3
NA,12,0,0,1,0,7,8,2,34,1,16
1.981,11,0,0,1,0,9,11,3,24,1,7
2.0149,15,0,0,1,0,8,11,2,27,1,6
NA,NA,0,NA,1,0,8,11,2,25,1,NA
1.6658,14,0,0,1,0,9.9372,8,1,29,1,9
2.2742,17,0,0,1,0,8,12,4,29,1,6
1.3863,12,0,0,1,0,9,11,3,28,1,10
1.4085,9,0,0,1,0,9,11,3,24,1,9
1.5518,12,0,0,0,0,12,12,7,26,1,8
1.1787,12,0,0,0,0,12,12,7,24,1,6
2.1691,12,0,0,1,0,9.9372,12,6,34,1,16
NA,NA,0,NA,0,1,9.9372,8,1,31,1,NA
NA,NA,0,NA,0,1,9.9372,8,1,26,1,NA
1.8326,13,0,0,1,0,9,10,3,34,1,15
NA,NA,0,NA,1,0,9,11,3,33,1,NA
1.2149,12,0,0,1,0,8,10,2,26,1,8
1.5707,16,0,0,1,0,5,5,2,27,1,5
1.8718,9,0,0,1,0,5,10.251,1,29,1,14
1.3429,16,0,0,1,0,5,4,2,25,1,3
NA,NA,0,NA,1,0,6,10.251,1,31,1,NA
2.2638,18,0,0,1,0,15,14,9,30,1,6
1.8165,16,0,0,1,0,13,12,8,29,1,7
NA,NA,0,NA,1,0,16,12,8,30,1,NA
1.9488,14,0,0,1,0,12,12,7,28,1,8
NA,12,0,0,1,0,12,9,5,25,1,7
1.8485,14,0,0,1,0,9.9372,12,6,31,1,11
0.6931,12,0,0,1,0,10,11,3,28,1,10
NA,NA,0,NA,1,0,12,9,5,24,1,NA
2.1005,12,0,0,1,0,10,10,3,27,1,9
1.7527,14,0,0,0,1,9.9372,12,6,26,1,6
1.539,17,0,0,1,0,12,12,7,26,1,3
2.2235,16,0,0,0,1,9.9372,12,6,29,1,7
2.0707,16,0,1,1,0,12,12,7,31,1,9
1.8485,14,0,0,1,0,12,12,7,28,1,8
NA,NA,0,NA,1,0,10,12,4,26,1,NA
1.7405,12,0,0,0,0,9.9372,10.251,1,25,1,7
1.953,16,0,0,1,0,12,12,7,29,1,7
1.8485,14,0,0,1,0,12,9,5,28,1,8
NA,NA,0,NA,1,0,12,9,5,25,1,NA
1.9373,12,0,0,0,0,9.9372,12,6,30,1,12
1.8165,13,0,0,1,0,10,12,4,34,1,15
1.5304,16,0,0,1,0,15,10,5,26,1,4
2.1576,12,0,0,1,0,12,12,7,34,1,16
1.9974,18,0,1,1,0,12,12,7,33,1,9
2.6391,12,0,0,1,0,8,14,4,25,1,7
1.3218,13,0,1,1,0,12,12,7,24,1,5
2.0894,12,0,0,0,1,9.9372,7,1,31,1,13
1.3962,12,0,0,1,0,9,12,4,25,1,7
1.8779,16,0,0,1,0,11,12,4,26,1,4
1.0986,12,0,0,0,1,9.9372,12,6,25,1,7
NA,NA,0,NA,0,1,9.9372,12,6,24,1,NA
1.7527,16,0,0,1,0,8,10,2,30,1,8
NA,NA,0,NA,1,0,8,10,2,25,1,NA
NA,11,1,0,0,0,9.9372,10.251,1,24,1,7
NA,NA,0,NA,1,0,14,14,9,29,1,NA
0.9746,16,0,0,1,0,10,12,4,24,1,2
1.7817,18,0,0,1,0,8,8,2,31,1,7
NA,17,0,0,1,0,12,12,7,24,1,1
1.1787,17,0,0,1,0,12,8,5,26,1,3
1.3481,16,0,0,1,0,12,8,5,24,1,2
2.3026,18,0,0,1,0,12,12,7,25,1,1
1.5369,18,0,0,1,0,8,11,2,28,1,4
1.4816,16,0,0,1,0,16,18,9,28,1,6
1.8326,16,0,0,1,0,16,17,9,27,1,5
1.0473,17,0,0,1,0,11,12,4,27,1,4
NA,NA,0,NA,0,1,9.9372,10,1,34,1,NA
1.8718,14,0,0,1,0,10,12,4,27,1,7
2.0894,13,0,0,1,0,10,12,4,25,1,6
1.6094,12,0,0,1,0,10,12,4,24,1,6
2.1175,16,0,0,1,0,14,12,8,26,1,4
NA,16,0,0,1,0,14,12,8,24,1,2
1.6094,12,0,0,1,0,8,6,2,31,1,13
NA,NA,0,NA,0,1,9.9372,8,1,27,1,NA
1.9359,17,0,0,1,0,12,12,7,32,1,9
2.3979,12,0,0,1,0,12,10,5,27,1,9
NA,NA,0,NA,1,0,12,12,7,25,1,NA
2.0321,12,0,0,1,0,8,12,4,25,1,7
0.9439,13,0,0,1,0,12,13,8,24,1,5
2.0732,12,0,0,1,0,8,9,2,27,1,9
NA,NA,0,NA,0,1,12,12,7,24,1,NA
1.203,16,0,0,1,0,7,8,2,25,1,3
NA,NA,0,NA,1,0,16,16,9,29,1,NA
1.4085,18,0,0,1,0,16,12,8,30,1,6
2.1576,16,0,0,1,0,9.9372,12,6,27,1,5
2.1838,12,0,0,1,0,8,12,4,31,1,13
1.9066,12,0,0,1,0,9.9372,12,6,34,1,16
NA,NA,0,NA,1,0,9,12,4,27,1,NA
NA,NA,0,NA,1,0,12,15,8,31,1,NA
1.9459,12,0,0,1,0,7,10.251,1,33,1,15
0.9163,18,0,1,1,0,16,16,9,33,1,9
1.8326,11,0,0,1,0,11,9,3,27,1,10
1.4279,13,0,0,1,0,8,12,4,31,1,12
1.7509,13,0,0,1,0,8,12,4,28,1,9
1.8132,12,1,0,1,0,12,9,5,26,1,8
1.9459,12,0,0,1,0,11,9,3,31,1,13
NA,NA,0,NA,1,0,11,9,3,28,1,NA
1.5041,12,0,0,1,0,11,9,3,24,1,6
NA,NA,0,NA,1,0,12,16,8,32,1,NA
1.6094,16,0,0,0,1,9.9372,12,6,28,1,6
1.6371,12,0,0,1,0,12,10.251,5,25,1,7
0.9163,16,0,0,1,0,12,12,7,25,1,3
1.1474,12,0,0,1,0,12,12,7,24,1,6
1.3218,12,0,0,1,0,9,12,4,29,1,11
NA,NA,0,NA,1,0,13,16,9,31,1,NA
NA,16,0,0,1,0,16,16,9,33,1,11
NA,14,1,0,1,0,5,6,2,34,1,14
1.5195,15,0,0,0,1,9.9372,12,6,34,1,13
1.0116,12,1,0,0,0,9.9372,10.251,1,27,1,9
2.2523,12,0,0,0,1,9.9372,12,6,28,1,10
2.4114,16,0,0,1,0,8,9,2,32,1,10
NA,NA,0,0,1,0,14,9,5,32,1,NA
1.0613,16,0,0,1,0,12,14,8,25,1,3
1.6094,16,0,0,0,0,9.9372,10.251,1,25,1,3
NA,NA,0,NA,1,0,10,11,3,31,1,NA
NA,NA,0,NA,1,0,12,12,7,28,1,NA
1.9824,18,0,0,1,0,16,12,8,32,1,8
2.5377,18,0,0,1,0,18,12,8,29,1,5
1.8132,17,1,0,1,0,18,18,9,26,1,3
NA,NA,1,NA,0,0,12,12,7,27,1,NA
NA,NA,1,NA,1,0,7,10.251,1,27,1,NA
NA,16,0,0,1,0,8,8,2,32,1,10
1.6956,12,0,0,1,0,10,11,3,28,1,10
1.0225,13,0,0,1,0,12,8,5,28,1,9
NA,12,0,0,1,0,12,8,5,26,1,8
2.6686,18,0,0,1,0,16,12,8,34,1,10
2.2976,16,0,0,1,0,16,12,8,27,1,5
1.9459,12,0,0,1,0,11,11,3,29,1,11
NA,12,0,0,0,0,9.9372,10.251,1,30,1,12
1.7527,16,0,0,1,0,9,12,4,28,1,6
2.1494,16,0,0,1,0,6,12,4,31,1,9
NA,NA,0,NA,1,0,9,14,4,27,1,NA
1.9257,12,0,0,0,0,12,10.251,5,28,1,10
2.1187,15,0,0,1,0,11,10.251,1,31,1,10
NA,12,0,0,1,0,18,14,9,27,1,9
1.8453,13,0,0,1,0,13,8,5,33,1,14
1.9301,12,0,0,1,0,12,12,7,32,1,14
2.0399,14,0,0,1,0,8,8,2,30,1,10
NA,12,0,0,1,0,11,12,4,26,1,8
NA,12,0,0,1,0,8,7,2,33,1,15
1.3481,15,0,0,1,0,12,14,8,27,1,6
1.5041,12,0,0,1,0,12,14,8,24,1,6
NA,12,0,0,1,0,7,7,2,26,1,8
1.8165,12,0,0,1,0,10,12,4,27,1,9
1.9199,12,0,0,0,1,9.9372,8,1,34,1,16
1.9021,10,0,0,0,1,9.9372,10.251,1,32,1,16
NA,NA,0,NA,1,0,10,12,4,33,1,NA
2.0794,11,0,0,1,0,8,8,2,33,1,16
NA,NA,0,NA,1,0,12,12,7,33,1,NA
1.6194,14,0,0,1,0,8,8,2,34,1,14
NA,NA,0,NA,1,0,10,12,4,30,1,NA
2.3283,18,0,0,1,0,12,16,8,30,1,6
2.0399,15,0,0,1,0,16,12,8,25,1,4
NA,NA,0,NA,1,0,10,10,3,28,1,NA
1.0647,10,0,1,1,0,10,14,4,32,1,16
1.6658,13,0,0,0,1,9.9372,8,1,28,1,9
2.4458,16,0,0,1,0,12,12,7,29,1,7
1.7029,10,0,0,0,0,12,10.251,5,29,1,13
1.5581,12,0,0,1,0,8,12,4,26,1,8
1.5041,12,0,0,1,0,12,12,7,26,1,8
2.1691,17,0,0,0,0,10,10.251,1,27,1,4
0.6931,15,0,0,0,0,10,10.251,1,25,1,4
1.0986,13,0,0,1,0,16,16,9,26,1,7
1.5304,16,0,0,1,0,16,10.251,5,25,1,3
1.3481,12,0,0,1,0,13,12,8,30,1,12
2.551,15,0,0,1,0,16,16,9,32,1,11
NA,NA,0,NA,1,0,16,16,9,28,1,NA
1.7716,16,0,0,1,0,12,12,7,25,1,3
1.7918,12,0,0,1,0,17,16,9,27,1,9
NA,NA,0,NA,1,0,2,0,2,28,1,NA
1.6094,16,0,0,0,0,6,10.251,1,30,1,8
NA,NA,0,NA,1,0,9.9372,1,1,28,1,NA
NA,NA,0,NA,0,1,5,1,2,29,1,NA
1.4816,12,1,0,1,0,8,8,2,33,1,15
1.5412,18,0,1,1,0,13,16,9,26,1,2
2.2289,17,0,0,1,0,14,12,8,29,1,6
1.7156,16,0,0,1,0,14,12,8,27,1,5
1.477,13,0,0,1,0,14,12,8,24,1,5
NA,NA,1,NA,1,0,8,12,4,26,1,NA
1.7918,12,1,0,0,0,9,10,3,29,1,11
1.7492,12,1,0,1,0,9,10,3,26,1,8
1.3584,12,1,0,1,0,9,10,3,26,1,8
NA,NA,0,NA,1,0,14,16,9,24,1,NA
NA,14,0,0,1,0,11,12,4,30,1,10
NA,NA,0,NA,1,0,9,6,2,24,1,NA
NA,NA,0,NA,1,0,10,12,4,25,1,NA
NA,14,0,0,1,0,9,10,3,24,1,4
2.0732,12,0,0,0,0,12,10.251,5,34,1,16
1.5497,18,0,0,1,0,18,16,9,27,1,3
0.7031,17,0,0,1,0,18,16,9,26,1,3
0.6931,17,0,0,1,0,18,16,9,24,1,1
NA,16,0,0,1,0,14,8,5,25,1,3
1.2528,17,0,0,0,0,15,17,9,24,1,1
1.3218,14,0,0,1,0,10,12,4,24,1,4
2.0399,15,0,0,1,0,12,9,5,27,1,6
1.7934,14,0,0,1,0,12,9,5,27,1,7
1.5707,16,0,0,1,0,12,9,5,25,1,3
2.2638,18,0,0,1,0,8,8,2,31,1,7
1.4422,15,0,0,0,0,12,12,7,27,1,6
NA,NA,0,NA,1,0,11,12,4,29,1,NA
1.6094,15,0,0,1,0,11,12,4,27,1,6
1.5041,9,0,0,1,0,9.9372,11,1,30,1,15
1.5602,8,0,0,1,0,8,9,2,28,1,14
0.3075,12,0,0,1,0,8,9,2,24,1,6
1.7492,12,0,0,1,0,10,9,3,32,1,14
1.7527,12,0,0,0,0,10,8,2,33,1,15
1.1314,12,0,0,1,0,8,9,2,31,1,13
1.9459,9,0,0,1,0,12,12,7,30,1,15
NA,NA,0,NA,1,0,8,8,2,30,1,NA
NA,15,0,0,1,0,9,10,3,25,1,4
2.5817,14,0,0,1,0,9.9372,12,6,32,1,12
1.7066,10,0,0,1,0,12,9,5,34,1,18
2.1759,17,0,0,1,0,8,8,2,30,1,7
NA,NA,0,NA,1,0,12,8,5,27,1,NA
2.267,12,0,0,1,0,12,12,7,29,1,11
NA,NA,0,NA,1,0,7,12,4,27,1,NA
2.0281,12,0,0,1,0,7,12,4,25,1,7
NA,NA,0,NA,1,0,12,12,7,25,1,NA
1.9573,12,0,0,1,0,8,11,2,32,1,14
1.4469,12,0,0,1,0,8,8,2,26,1,8
1.4516,12,0,0,0,1,9.9372,9,1,26,1,8
1.7509,16,0,0,0,1,9.9372,9,1,24,1,2
1.5892,NA,0,0,0,1,9.9372,7,1,24,1,NA
1.3863,9,0,0,1,0,9.9372,4,1,32,1,17
NA,8,0,0,0,0,9.9372,10.251,1,34,1,20
NA,NA,0,NA,1,0,8,12,4,26,1,NA
1.6094,12,0,0,1,0,8,5,2,31,1,13
1.6696,12,0,0,1,0,8,5,2,28,1,10
NA,NA,0,NA,1,0,9,10,3,29,1,NA
NA,NA,0,NA,0,0,9,10,3,27,1,NA
1.9066,16,0,0,1,0,12,12,7,28,1,6
1.7527,16,0,1,1,0,12,12,7,27,1,5
NA,NA,0,NA,1,0,8,7,2,33,1,NA
1.5433,NA,0,0,1,0,12,10,5,25,1,NA
NA,12,0,0,1,0,8,10,2,34,1,16
1.1787,16,0,0,1,0,16,12,8,24,1,2
NA,12,0,0,1,0,8,7,2,34,1,16
NA,NA,0,NA,1,0,12,12,7,28,1,NA
1.6094,11,0,0,1,0,7,11,2,29,1,12
2.0412,12,0,0,1,0,7,11,2,25,1,7
NA,NA,0,NA,1,0,5,10.251,1,32,1,NA
1.6094,12,0,0,1,0,7,12,4,26,1,8
NA,NA,0,NA,1,0,13,10.251,5,25,1,NA
NA,NA,0,NA,1,0,16,10.251,5,31,1,NA
1.3635,16,0,0,1,0,14,12,8,28,1,6
2.0919,12,0,0,1,0,12,10,5,34,1,16
1.6919,9,1,0,1,0,12,10.251,5,34,1,19
NA,NA,1,NA,0,1,9.9372,8,1,25,1,NA
NA,12,1,0,0,1,9.9372,7,1,28,1,10
NA,NA,1,NA,0,1,9.9372,8,1,25,1,NA
1.78,9,1,0,1,0,12,12,7,34,1,19
2.1564,17,0,0,1,0,12,12,7,25,1,2
1.9459,10,1,0,1,0,9.9372,8,1,28,1,12
NA,NA,0,NA,1,0,12,12,7,26,1,NA
1.6292,12,0,0,1,0,12,12,7,25,1,7
1.7011,12,0,0,1,0,12,12,7,26,1,8
1.8165,13,0,0,1,0,9,12,4,34,1,15
NA,NA,0,NA,1,0,8,9,2,27,1,NA
2.0295,14,0,0,1,0,9,8,2,29,1,9
NA,NA,0,NA,1,0,7,12,4,28,1,NA
NA,NA,0,NA,1,0,12,10.251,5,34,1,NA
1.5953,10,0,0,1,0,9.9372,10.251,1,31,1,15
1.4929,16,0,0,1,0,12,12,7,24,1,2
1.4469,12,0,0,1,0,8,9,2,25,1,7
2.0149,16,0,0,1,0,12,12,7,24,1,2
1.9459,16,0,0,1,0,12,12,7,24,1,2
1.477,12,0,0,1,0,9,9,3,24,1,6
1.805,12,0,0,1,0,12,12,7,29,1,11
1.5041,13,0,0,1,0,7,8,2,24,1,5
1.141,3,0,0,1,0,4,0,2,26,1,17
NA,NA,0,NA,0,1,9.9372,10.251,1,31,1,NA
0.9163,7,1,0,1,0,6,5,2,33,1,20
NA,18,0,0,1,0,12,12,7,34,1,10
1.6094,14,0,0,1,0,12,12,7,33,1,13
1.2947,12,0,0,1,0,11,12,4,26,0,8
NA,12,0,0,1,0,11,12,4,24,0,6
2.0956,12,0,0,1,0,10,12,4,26,0,8
1.1817,12,0,0,1,0,10,12,4,25,0,7
