"congress","name","term_start","age","birth_year","suffix","incumbent","state","has_suffix"
94,"Alan Cranston",1914,60.6,1914,NA,TRUE,"CA",0
95,"Alan Cranston",1914,62.5,1914,NA,TRUE,"CA",0
96,"Alan Cranston",1914,64.6,1914,NA,TRUE,"CA",0
97,"Alan Cranston",1914,66.5,1914,NA,TRUE,"CA",0
98,"Alan Cranston",1914,68.5,1914,NA,TRUE,"CA",0
99,"Alan Cranston",1914,70.5,1914,NA,TRUE,"CA",0
100,"Alan Cranston",1914,72.6,1914,NA,TRUE,"CA",0
101,"Alan Cranston",1914,74.5,1914,NA,TRUE,"CA",0
102,"Alan Cranston",1914,76.5,1914,NA,TRUE,"CA",0
83,"Alan Harvey Bible",1909,43.1,1909,NA,FALSE,"NV",0
84,"Alan Harvey Bible",1909,45.1,1909,NA,TRUE,"NV",0
85,"Alan Harvey Bible",1909,47.1,1909,NA,TRUE,"NV",0
86,"Alan Harvey Bible",1909,49.1,1909,NA,TRUE,"NV",0
87,"Alan Harvey Bible",1909,51.1,1909,NA,TRUE,"NV",0
88,"Alan Harvey Bible",1909,53.1,1909,NA,TRUE,"NV",0
89,"Alan Harvey Bible",1909,55.1,1909,NA,TRUE,"NV",0
90,"Alan Harvey Bible",1909,57.1,1909,NA,TRUE,"NV",0
91,"Alan Harvey Bible",1909,59.1,1909,NA,TRUE,"NV",0
92,"Alan Harvey Bible",1909,61.2,1909,NA,TRUE,"NV",0
93,"Alan Harvey Bible",1909,63.1,1909,NA,TRUE,"NV",0
97,"Alan John Dixon",1927,53.5,1927,NA,FALSE,"IL",0
98,"Alan John Dixon",1927,55.5,1927,NA,TRUE,"IL",0
99,"Alan John Dixon",1927,57.5,1927,NA,TRUE,"IL",0
100,"Alan John Dixon",1927,59.5,1927,NA,TRUE,"IL",0
101,"Alan John Dixon",1927,61.5,1927,NA,TRUE,"IL",0
102,"Alan John Dixon",1927,63.5,1927,NA,TRUE,"IL",0
95,"Alan Kooi Simpson",1931,45.3,1931,NA,FALSE,"WY",0
96,"Alan Kooi Simpson",1931,47.4,1931,NA,TRUE,"WY",0
97,"Alan Kooi Simpson",1931,49.3,1931,NA,TRUE,"WY",0
98,"Alan Kooi Simpson",1931,51.3,1931,NA,TRUE,"WY",0
99,"Alan Kooi Simpson",1931,53.3,1931,NA,TRUE,"WY",0
100,"Alan Kooi Simpson",1931,55.3,1931,NA,TRUE,"WY",0
101,"Alan Kooi Simpson",1931,57.3,1931,NA,TRUE,"WY",0
102,"Alan Kooi Simpson",1931,59.3,1931,NA,TRUE,"WY",0
103,"Alan Kooi Simpson",1931,61.3,1931,NA,TRUE,"WY",0
104,"Alan Kooi Simpson",1931,63.3,1931,NA,TRUE,"WY",0
111,"Alan Stuart Franken",1951,57.6,1951,NA,FALSE,"MN",0
112,"Alan Stuart Franken",1951,59.6,1951,NA,TRUE,"MN",0
113,"Alan Stuart Franken",1951,61.6,1951,NA,TRUE,"MN",0
80,"Alben William Barkley",1877,69.1,1877,NA,TRUE,"KY",0
81,"Alben William Barkley",1877,71.1,1877,NA,TRUE,"KY",0
84,"Alben William Barkley",1877,77.1,1877,NA,FALSE,"KY",0
83,"Albert Arnold Gore",1907,45,1907,NA,TRUE,"TN",0
84,"Albert Arnold Gore",1907,47,1907,NA,TRUE,"TN",0
85,"Albert Arnold Gore",1907,49,1907,NA,TRUE,"TN",0
86,"Albert Arnold Gore",1907,51,1907,NA,TRUE,"TN",0
87,"Albert Arnold Gore",1907,53,1907,NA,TRUE,"TN",0
88,"Albert Arnold Gore",1907,55,1907,NA,TRUE,"TN",0
89,"Albert Arnold Gore",1907,57,1907,NA,TRUE,"TN",0
90,"Albert Arnold Gore",1907,59,1907,NA,TRUE,"TN",0
91,"Albert Arnold Gore",1907,61,1907,NA,TRUE,"TN",0
99,"Albert Arnold Gore",1948,36.8,1948,"Jr.",TRUE,"TN",1
100,"Albert Arnold Gore",1948,38.8,1948,"Jr.",TRUE,"TN",1
101,"Albert Arnold Gore",1948,40.8,1948,"Jr.",TRUE,"TN",1
102,"Albert Arnold Gore",1948,42.8,1948,"Jr.",TRUE,"TN",1
80,"Albert Wahl Hawkes",1878,68.1,1878,NA,TRUE,"NJ",0
80,"Alexander Wiley",1884,62.6,1884,NA,TRUE,"WI",0
81,"Alexander Wiley",1884,64.6,1884,NA,TRUE,"WI",0
82,"Alexander Wiley",1884,66.6,1884,NA,TRUE,"WI",0
83,"Alexander Wiley",1884,68.6,1884,NA,TRUE,"WI",0
84,"Alexander Wiley",1884,70.6,1884,NA,TRUE,"WI",0
85,"Alexander Wiley",1884,72.6,1884,NA,TRUE,"WI",0
86,"Alexander Wiley",1884,74.6,1884,NA,TRUE,"WI",0
87,"Alexander Wiley",1884,76.6,1884,NA,TRUE,"WI",0
97,"Alfonse Marcello D'Amato",1937,43.4,1937,NA,FALSE,"NY",0
98,"Alfonse Marcello D'Amato",1937,45.4,1937,NA,TRUE,"NY",0
99,"Alfonse Marcello D'Amato",1937,47.4,1937,NA,TRUE,"NY",0
100,"Alfonse Marcello D'Amato",1937,49.4,1937,NA,TRUE,"NY",0
101,"Alfonse Marcello D'Amato",1937,51.4,1937,NA,TRUE,"NY",0
102,"Alfonse Marcello D'Amato",1937,53.4,1937,NA,TRUE,"NY",0
103,"Alfonse Marcello D'Amato",1937,55.4,1937,NA,TRUE,"NY",0
104,"Alfonse Marcello D'Amato",1937,57.4,1937,NA,TRUE,"NY",0
105,"Alfonse Marcello D'Amato",1937,59.4,1937,NA,TRUE,"NY",0
80,"Allen Joseph Ellender",1890,56.3,1890,NA,TRUE,"LA",0
81,"Allen Joseph Ellender",1890,58.3,1890,NA,TRUE,"LA",0
82,"Allen Joseph Ellender",1890,60.3,1890,NA,TRUE,"LA",0
83,"Allen Joseph Ellender",1890,62.3,1890,NA,TRUE,"LA",0
84,"Allen Joseph Ellender",1890,64.3,1890,NA,TRUE,"LA",0
85,"Allen Joseph Ellender",1890,66.3,1890,NA,TRUE,"LA",0
86,"Allen Joseph Ellender",1890,68.3,1890,NA,TRUE,"LA",0
87,"Allen Joseph Ellender",1890,70.3,1890,NA,TRUE,"LA",0
88,"Allen Joseph Ellender",1890,72.3,1890,NA,TRUE,"LA",0
89,"Allen Joseph Ellender",1890,74.3,1890,NA,TRUE,"LA",0
90,"Allen Joseph Ellender",1890,76.3,1890,NA,TRUE,"LA",0
91,"Allen Joseph Ellender",1890,78.3,1890,NA,TRUE,"LA",0
92,"Allen Joseph Ellender",1890,80.3,1890,NA,TRUE,"LA",0
82,"Almer Stillwell Mike Monroney",1902,48.8,1902,NA,TRUE,"OK",0
83,"Almer Stillwell Mike Monroney",1902,50.8,1902,NA,TRUE,"OK",0
84,"Almer Stillwell Mike Monroney",1902,52.8,1902,NA,TRUE,"OK",0
85,"Almer Stillwell Mike Monroney",1902,54.8,1902,NA,TRUE,"OK",0
86,"Almer Stillwell Mike Monroney",1902,56.9,1902,NA,TRUE,"OK",0
87,"Almer Stillwell Mike Monroney",1902,58.8,1902,NA,TRUE,"OK",0
88,"Almer Stillwell Mike Monroney",1902,60.9,1902,NA,TRUE,"OK",0
89,"Almer Stillwell Mike Monroney",1902,62.8,1902,NA,TRUE,"OK",0
90,"Almer Stillwell Mike Monroney",1902,64.9,1902,NA,TRUE,"OK",0
83,"Alton Asa Lennon",1906,46.4,1906,NA,FALSE,"NC",0
110,"Amy Jean Klobuchar",1960,46.6,1960,NA,FALSE,"MN",0
111,"Amy Jean Klobuchar",1960,48.6,1960,NA,TRUE,"MN",0
112,"Amy Jean Klobuchar",1960,50.6,1960,NA,TRUE,"MN",0
113,"Amy Jean Klobuchar",1960,52.6,1960,NA,TRUE,"MN",0
81,"Andrew Frank Schoeppel",1894,54.1,1894,NA,FALSE,"KS",0
82,"Andrew Frank Schoeppel",1894,56.1,1894,NA,TRUE,"KS",0
83,"Andrew Frank Schoeppel",1894,58.1,1894,NA,TRUE,"KS",0
84,"Andrew Frank Schoeppel",1894,60.1,1894,NA,TRUE,"KS",0
85,"Andrew Frank Schoeppel",1894,62.1,1894,NA,TRUE,"KS",0
86,"Andrew Frank Schoeppel",1894,64.1,1894,NA,TRUE,"KS",0
87,"Andrew Frank Schoeppel",1894,66.1,1894,NA,TRUE,"KS",0
113,"Angus King",1944,68.8,1944,NA,FALSE,"ME",0
97,"Arlen Specter",1930,50.9,1930,NA,FALSE,"PA",0
98,"Arlen Specter",1930,52.9,1930,NA,TRUE,"PA",0
99,"Arlen Specter",1930,54.9,1930,NA,TRUE,"PA",0
100,"Arlen Specter",1930,56.9,1930,NA,TRUE,"PA",0
101,"Arlen Specter",1930,58.9,1930,NA,TRUE,"PA",0
102,"Arlen Specter",1930,60.9,1930,NA,TRUE,"PA",0
103,"Arlen Specter",1930,62.9,1930,NA,TRUE,"PA",0
104,"Arlen Specter",1930,64.9,1930,NA,TRUE,"PA",0
105,"Arlen Specter",1930,66.9,1930,NA,TRUE,"PA",0
106,"Arlen Specter",1930,68.9,1930,NA,TRUE,"PA",0
107,"Arlen Specter",1930,70.9,1930,NA,TRUE,"PA",0
108,"Arlen Specter",1930,72.9,1930,NA,TRUE,"PA",0
109,"Arlen Specter",1930,74.9,1930,NA,TRUE,"PA",0
110,"Arlen Specter",1930,76.9,1930,NA,TRUE,"PA",0
111,"Arlen Specter",1930,78.9,1930,NA,TRUE,"PA",0
80,"Arthur Capper",1865,81.5,1865,NA,TRUE,"KS",0
82,"Arthur Edson Blair Moody",1902,48.9,1902,NA,FALSE,"MI",0
80,"Arthur Hendrick Vandenberg",1884,62.8,1884,NA,TRUE,"MI",0
81,"Arthur Hendrick Vandenberg",1884,64.8,1884,NA,TRUE,"MI",0
82,"Arthur Hendrick Vandenberg",1884,66.8,1884,NA,TRUE,"MI",0
80,"Arthur Thomas Stewart",1892,55,1892,NA,TRUE,"TN",0
80,"Arthur Vivian Watkins",1886,60,1886,NA,FALSE,"UT",0
81,"Arthur Vivian Watkins",1886,62,1886,NA,TRUE,"UT",0
82,"Arthur Vivian Watkins",1886,64,1886,NA,TRUE,"UT",0
83,"Arthur Vivian Watkins",1886,66,1886,NA,TRUE,"UT",0
84,"Arthur Vivian Watkins",1886,68,1886,NA,TRUE,"UT",0
85,"Arthur Vivian Watkins",1886,70,1886,NA,TRUE,"UT",0
109,"Barack Obama",1961,43.4,1961,NA,FALSE,"IL",0
110,"Barack Obama",1957,49.4,1957,NA,TRUE,"IL",0
100,"Barbara A. Mikulski",1936,50.5,1936,NA,TRUE,"MD",0
101,"Barbara A. Mikulski",1936,52.5,1936,NA,TRUE,"MD",0
102,"Barbara A. Mikulski",1936,54.5,1936,NA,TRUE,"MD",0
103,"Barbara A. Mikulski",1936,56.5,1936,NA,TRUE,"MD",0
104,"Barbara A. Mikulski",1936,58.5,1936,NA,TRUE,"MD",0
105,"Barbara A. Mikulski",1936,60.5,1936,NA,TRUE,"MD",0
106,"Barbara A. Mikulski",1936,62.5,1936,NA,TRUE,"MD",0
107,"Barbara A. Mikulski",1936,64.5,1936,NA,TRUE,"MD",0
108,"Barbara A. Mikulski",1936,66.5,1936,NA,TRUE,"MD",0
109,"Barbara A. Mikulski",1936,68.5,1936,NA,TRUE,"MD",0
110,"Barbara A. Mikulski",1936,70.5,1936,NA,TRUE,"MD",0
111,"Barbara A. Mikulski",1936,72.5,1936,NA,TRUE,"MD",0
112,"Barbara A. Mikulski",1936,74.5,1936,NA,TRUE,"MD",0
113,"Barbara A. Mikulski",1936,76.5,1936,NA,TRUE,"MD",0
103,"Barbara Boxer",1940,52.2,1940,NA,TRUE,"CA",0
104,"Barbara Boxer",1940,54.1,1940,NA,TRUE,"CA",0
105,"Barbara Boxer",1940,56.2,1940,NA,TRUE,"CA",0
106,"Barbara Boxer",1940,58.2,1940,NA,TRUE,"CA",0
107,"Barbara Boxer",1940,60.1,1940,NA,TRUE,"CA",0
108,"Barbara Boxer",1940,62.2,1940,NA,TRUE,"CA",0
109,"Barbara Boxer",1940,64.1,1940,NA,TRUE,"CA",0
110,"Barbara Boxer",1940,66.1,1940,NA,TRUE,"CA",0
111,"Barbara Boxer",1940,68.2,1940,NA,TRUE,"CA",0
112,"Barbara Boxer",1940,70.1,1940,NA,TRUE,"CA",0
113,"Barbara Boxer",1940,72.1,1940,NA,TRUE,"CA",0
83,"Barry Morris Goldwater",1909,44,1909,NA,FALSE,"AZ",0
84,"Barry Morris Goldwater",1909,46,1909,NA,TRUE,"AZ",0
85,"Barry Morris Goldwater",1909,48,1909,NA,TRUE,"AZ",0
86,"Barry Morris Goldwater",1909,50,1909,NA,TRUE,"AZ",0
87,"Barry Morris Goldwater",1909,52,1909,NA,TRUE,"AZ",0
88,"Barry Morris Goldwater",1909,54,1909,NA,TRUE,"AZ",0
91,"Barry Morris Goldwater",1909,60,1909,NA,FALSE,"AZ",0
92,"Barry Morris Goldwater",1909,62.1,1909,NA,TRUE,"AZ",0
93,"Barry Morris Goldwater",1909,64,1909,NA,TRUE,"AZ",0
94,"Barry Morris Goldwater",1909,66,1909,NA,TRUE,"AZ",0
95,"Barry Morris Goldwater",1909,68,1909,NA,TRUE,"AZ",0
96,"Barry Morris Goldwater",1909,70,1909,NA,TRUE,"AZ",0
97,"Barry Morris Goldwater",1909,72,1909,NA,TRUE,"AZ",0
98,"Barry Morris Goldwater",1909,74,1909,NA,TRUE,"AZ",0
99,"Barry Morris Goldwater",1909,76,1909,NA,TRUE,"AZ",0
107,"Ben E. Nelson",1941,59.6,1941,NA,FALSE,"NE",0
108,"Ben E. Nelson",1941,61.6,1941,NA,TRUE,"NE",0
109,"Ben E. Nelson",1941,63.6,1941,NA,TRUE,"NE",0
110,"Ben E. Nelson",1941,65.6,1941,NA,TRUE,"NE",0
111,"Ben E. Nelson",1941,67.6,1941,NA,TRUE,"NE",0
112,"Ben E. Nelson",1941,69.6,1941,NA,TRUE,"NE",0
103,"Ben Nighthorse Campbell",1933,59.7,1933,NA,TRUE,"CO",0
104,"Ben Nighthorse Campbell",1933,61.7,1933,NA,TRUE,"CO",0
105,"Ben Nighthorse Campbell",1933,63.7,1933,NA,TRUE,"CO",0
106,"Ben Nighthorse Campbell",1933,65.7,1933,NA,TRUE,"CO",0
107,"Ben Nighthorse Campbell",1933,67.7,1933,NA,TRUE,"CO",0
108,"Ben Nighthorse Campbell",1933,69.7,1933,NA,TRUE,"CO",0
86,"Benjamin A. Smith",1916,42.8,1916,"II",FALSE,"MA",1
87,"Benjamin A. Smith",1916,44.8,1916,"II",TRUE,"MA",1
85,"Benjamin Everett Jordan",1896,60.3,1896,NA,FALSE,"NC",0
86,"Benjamin Everett Jordan",1896,62.3,1896,NA,TRUE,"NC",0
87,"Benjamin Everett Jordan",1896,64.3,1896,NA,TRUE,"NC",0
88,"Benjamin Everett Jordan",1896,66.3,1896,NA,TRUE,"NC",0
89,"Benjamin Everett Jordan",1896,68.3,1896,NA,TRUE,"NC",0
90,"Benjamin Everett Jordan",1896,70.3,1896,NA,TRUE,"NC",0
91,"Benjamin Everett Jordan",1896,72.3,1896,NA,TRUE,"NC",0
92,"Benjamin Everett Jordan",1896,74.4,1896,NA,TRUE,"NC",0
110,"Benjamin L. Cardin",1943,63.2,1943,NA,TRUE,"MD",0
111,"Benjamin L. Cardin",1943,65.3,1943,NA,TRUE,"MD",0
112,"Benjamin L. Cardin",1943,67.3,1943,NA,TRUE,"MD",0
113,"Benjamin L. Cardin",1943,69.2,1943,NA,TRUE,"MD",0
110,"Bernard Sanders",1941,65.3,1941,NA,TRUE,"VT",0
111,"Bernard Sanders",1941,67.3,1941,NA,TRUE,"VT",0
112,"Bernard Sanders",1941,69.3,1941,NA,TRUE,"VT",0
113,"Bernard Sanders",1941,71.3,1941,NA,TRUE,"VT",0
81,"Bert Henry Miller",1879,69.1,1879,NA,FALSE,"ID",0
107,"Bill Nelson",1942,58.3,1942,NA,FALSE,"FL",0
108,"Bill Nelson",1942,60.3,1942,NA,TRUE,"FL",0
109,"Bill Nelson",1942,62.3,1942,NA,TRUE,"FL",0
110,"Bill Nelson",1942,64.3,1942,NA,TRUE,"FL",0
111,"Bill Nelson",1942,66.3,1942,NA,TRUE,"FL",0
112,"Bill Nelson",1942,68.3,1942,NA,TRUE,"FL",0
113,"Bill Nelson",1942,70.3,1942,NA,TRUE,"FL",0
88,"Birch Evans Bayh",1928,35,1928,NA,FALSE,"IN",0
89,"Birch Evans Bayh",1928,37,1928,NA,TRUE,"IN",0
90,"Birch Evans Bayh",1928,39,1928,NA,TRUE,"IN",0
91,"Birch Evans Bayh",1928,41,1928,NA,TRUE,"IN",0
92,"Birch Evans Bayh",1928,43,1928,NA,TRUE,"IN",0
93,"Birch Evans Bayh",1928,45,1928,NA,TRUE,"IN",0
94,"Birch Evans Bayh",1928,47,1928,NA,TRUE,"IN",0
95,"Birch Evans Bayh",1928,49,1928,NA,TRUE,"IN",0
96,"Birch Evans Bayh",1928,51,1928,NA,TRUE,"IN",0
106,"Blanche Lambert Lincoln",1960,38.3,1960,NA,FALSE,"AR",0
107,"Blanche Lambert Lincoln",1960,40.3,1960,NA,TRUE,"AR",0
108,"Blanche Lambert Lincoln",1960,42.3,1960,NA,TRUE,"AR",0
109,"Blanche Lambert Lincoln",1960,44.3,1960,NA,TRUE,"AR",0
110,"Blanche Lambert Lincoln",1960,46.3,1960,NA,TRUE,"AR",0
111,"Blanche Lambert Lincoln",1960,48.3,1960,NA,TRUE,"AR",0
110,"Bob Corker",1952,54.4,1952,NA,FALSE,"TN",0
111,"Bob Corker",1952,56.4,1952,NA,TRUE,"TN",0
112,"Bob Corker",1952,58.4,1952,NA,TRUE,"TN",0
113,"Bob Corker",1952,60.4,1952,NA,TRUE,"TN",0
100,"Bob Graham",1936,50.2,1936,NA,FALSE,"FL",0
101,"Bob Graham",1936,52.2,1936,NA,TRUE,"FL",0
102,"Bob Graham",1936,54.1,1936,NA,TRUE,"FL",0
103,"Bob Graham",1936,56.2,1936,NA,TRUE,"FL",0
104,"Bob Graham",1936,58.2,1936,NA,TRUE,"FL",0
105,"Bob Graham",1936,60.2,1936,NA,TRUE,"FL",0
106,"Bob Graham",1936,62.2,1936,NA,TRUE,"FL",0
107,"Bob Graham",1936,64.2,1936,NA,TRUE,"FL",0
108,"Bob Graham",1936,66.2,1936,NA,TRUE,"FL",0
80,"Bourke Blakemore Hickenlooper",1896,50.5,1896,NA,TRUE,"IA",0
81,"Bourke Blakemore Hickenlooper",1896,52.5,1896,NA,TRUE,"IA",0
82,"Bourke Blakemore Hickenlooper",1896,54.5,1896,NA,TRUE,"IA",0
83,"Bourke Blakemore Hickenlooper",1896,56.5,1896,NA,TRUE,"IA",0
84,"Bourke Blakemore Hickenlooper",1896,58.5,1896,NA,TRUE,"IA",0
85,"Bourke Blakemore Hickenlooper",1896,60.5,1896,NA,TRUE,"IA",0
86,"Bourke Blakemore Hickenlooper",1896,62.5,1896,NA,TRUE,"IA",0
87,"Bourke Blakemore Hickenlooper",1896,64.5,1896,NA,TRUE,"IA",0
88,"Bourke Blakemore Hickenlooper",1896,66.5,1896,NA,TRUE,"IA",0
89,"Bourke Blakemore Hickenlooper",1896,68.5,1896,NA,TRUE,"IA",0
90,"Bourke Blakemore Hickenlooper",1896,70.5,1896,NA,TRUE,"IA",0
112,"Brian Emanuel Schatz",1972,38.2,1972,NA,FALSE,"HI",0
113,"Brian Emanuel Schatz",1972,40.2,1972,NA,TRUE,"HI",0
80,"Brien McMahon",1903,43.2,1903,NA,TRUE,"CT",0
81,"Brien McMahon",1903,45.2,1903,NA,TRUE,"CT",0
82,"Brien McMahon",1903,47.2,1903,NA,TRUE,"CT",0
100,"Brockman Adams",1927,60,1927,NA,FALSE,"WA",0
101,"Brockman Adams",1927,62,1927,NA,TRUE,"WA",0
102,"Brockman Adams",1927,64,1927,NA,TRUE,"WA",0
80,"Burnet Rhett Maybank",1899,47.8,1899,NA,TRUE,"SC",0
81,"Burnet Rhett Maybank",1899,49.8,1899,NA,TRUE,"SC",0
82,"Burnet Rhett Maybank",1899,51.8,1899,NA,TRUE,"SC",0
83,"Burnet Rhett Maybank",1899,53.8,1899,NA,TRUE,"SC",0
103,"Byron L. Dorgan",1942,50.6,1942,NA,TRUE,"ND",0
104,"Byron L. Dorgan",1942,52.6,1942,NA,TRUE,"ND",0
105,"Byron L. Dorgan",1942,54.7,1942,NA,TRUE,"ND",0
106,"Byron L. Dorgan",1942,56.6,1942,NA,TRUE,"ND",0
107,"Byron L. Dorgan",1942,58.6,1942,NA,TRUE,"ND",0
108,"Byron L. Dorgan",1942,60.7,1942,NA,TRUE,"ND",0
109,"Byron L. Dorgan",1942,62.6,1942,NA,TRUE,"ND",0
110,"Byron L. Dorgan",1942,64.6,1942,NA,TRUE,"ND",0
111,"Byron L. Dorgan",1942,66.7,1942,NA,TRUE,"ND",0
81,"Carey Estes Kefauver",1903,45.4,1903,NA,TRUE,"TN",0
82,"Carey Estes Kefauver",1903,47.4,1903,NA,TRUE,"TN",0
83,"Carey Estes Kefauver",1903,49.4,1903,NA,TRUE,"TN",0
84,"Carey Estes Kefauver",1903,51.4,1903,NA,TRUE,"TN",0
85,"Carey Estes Kefauver",1903,53.4,1903,NA,TRUE,"TN",0
86,"Carey Estes Kefauver",1903,55.5,1903,NA,TRUE,"TN",0
87,"Carey Estes Kefauver",1903,57.4,1903,NA,TRUE,"TN",0
88,"Carey Estes Kefauver",1903,59.5,1903,NA,TRUE,"TN",0
80,"Carl Atwood Hatch",1889,57.1,1889,NA,TRUE,"NM",0
96,"Carl Levin",1934,44.6,1934,NA,FALSE,"MI",0
97,"Carl Levin",1934,46.5,1934,NA,TRUE,"MI",0
98,"Carl Levin",1934,48.5,1934,NA,TRUE,"MI",0
99,"Carl Levin",1934,50.5,1934,NA,TRUE,"MI",0
100,"Carl Levin",1934,52.5,1934,NA,TRUE,"MI",0
101,"Carl Levin",1934,54.5,1934,NA,TRUE,"MI",0
102,"Carl Levin",1934,56.5,1934,NA,TRUE,"MI",0
103,"Carl Levin",1934,58.5,1934,NA,TRUE,"MI",0
104,"Carl Levin",1934,60.5,1934,NA,TRUE,"MI",0
105,"Carl Levin",1934,62.5,1934,NA,TRUE,"MI",0
106,"Carl Levin",1934,64.5,1934,NA,TRUE,"MI",0
107,"Carl Levin",1934,66.5,1934,NA,TRUE,"MI",0
108,"Carl Levin",1934,68.5,1934,NA,TRUE,"MI",0
109,"Carl Levin",1934,70.5,1934,NA,TRUE,"MI",0
110,"Carl Levin",1934,72.5,1934,NA,TRUE,"MI",0
111,"Carl Levin",1934,74.5,1934,NA,TRUE,"MI",0
112,"Carl Levin",1934,76.5,1934,NA,TRUE,"MI",0
113,"Carl Levin",1934,78.5,1934,NA,TRUE,"MI",0
83,"Carl Thomas Curtis",1905,47.8,1905,NA,TRUE,"NE",0
84,"Carl Thomas Curtis",1905,49.8,1905,NA,TRUE,"NE",0
85,"Carl Thomas Curtis",1905,51.8,1905,NA,TRUE,"NE",0
86,"Carl Thomas Curtis",1905,53.8,1905,NA,TRUE,"NE",0
87,"Carl Thomas Curtis",1905,55.8,1905,NA,TRUE,"NE",0
88,"Carl Thomas Curtis",1905,57.8,1905,NA,TRUE,"NE",0
89,"Carl Thomas Curtis",1905,59.8,1905,NA,TRUE,"NE",0
90,"Carl Thomas Curtis",1905,61.8,1905,NA,TRUE,"NE",0
91,"Carl Thomas Curtis",1905,63.8,1905,NA,TRUE,"NE",0
92,"Carl Thomas Curtis",1905,65.9,1905,NA,TRUE,"NE",0
93,"Carl Thomas Curtis",1905,67.8,1905,NA,TRUE,"NE",0
94,"Carl Thomas Curtis",1905,69.8,1905,NA,TRUE,"NE",0
95,"Carl Thomas Curtis",1905,71.8,1905,NA,TRUE,"NE",0
80,"Carl Trumbull Hayden",1877,69.3,1877,NA,TRUE,"AZ",0
81,"Carl Trumbull Hayden",1877,71.3,1877,NA,TRUE,"AZ",0
82,"Carl Trumbull Hayden",1877,73.3,1877,NA,TRUE,"AZ",0
83,"Carl Trumbull Hayden",1877,75.3,1877,NA,TRUE,"AZ",0
84,"Carl Trumbull Hayden",1877,77.3,1877,NA,TRUE,"AZ",0
85,"Carl Trumbull Hayden",1877,79.3,1877,NA,TRUE,"AZ",0
86,"Carl Trumbull Hayden",1877,81.3,1877,NA,TRUE,"AZ",0
87,"Carl Trumbull Hayden",1877,83.3,1877,NA,TRUE,"AZ",0
88,"Carl Trumbull Hayden",1877,85.3,1877,NA,TRUE,"AZ",0
89,"Carl Trumbull Hayden",1877,87.3,1877,NA,TRUE,"AZ",0
90,"Carl Trumbull Hayden",1877,89.3,1877,NA,TRUE,"AZ",0
103,"Carol Moseley Braun",1947,45.4,1947,NA,FALSE,"IL",0
104,"Carol Moseley Braun",1947,47.4,1947,NA,TRUE,"IL",0
105,"Carol Moseley Braun",1947,49.4,1947,NA,TRUE,"IL",0
111,"Carte P. Goodwin",1970,38.9,1970,NA,FALSE,"WV",0
97,"Charles E. Grassley",1933,47.3,1933,NA,TRUE,"IA",0
98,"Charles E. Grassley",1933,49.3,1933,NA,TRUE,"IA",0
99,"Charles E. Grassley",1933,51.3,1933,NA,TRUE,"IA",0
100,"Charles E. Grassley",1933,53.3,1933,NA,TRUE,"IA",0
101,"Charles E. Grassley",1933,55.3,1933,NA,TRUE,"IA",0
102,"Charles E. Grassley",1933,57.3,1933,NA,TRUE,"IA",0
103,"Charles E. Grassley",1933,59.3,1933,NA,TRUE,"IA",0
